"Code point","Rank 1","Rank 2","Unicode name","WP43 usage","Glyph","Replacement","Code point"
"U+03a9",448,448,"GREEK CAPITAL LETTER OMEGA","OMEGA","Ω","Ω","U+03a9"
"U+03aa",405,408,"GREEK CAPITAL LETTER IOTA WITH DIALYTIKA","IOTA dialytika","Ϊ","Ι","U+0399"
"U+03ab",436,439,"GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA","UPSILON dialytika","Ϋ","Υ","U+03a5"
"U+03ac",384,387,"GREEK SMALL LETTER ALPHA WITH TONOS","alpha tonos","ά","Α","U+0391"
"U+03ad",395,397,"GREEK SMALL LETTER EPSILON WITH TONOS","epsilon tonos","έ","Ε","U+0395"
"U+03ae",400,402,"GREEK SMALL LETTER ETA WITH TONOS","eta tonos","ή","Η","U+0397"
"U+03af",405,407,"GREEK SMALL LETTER IOTA WITH TONOS","iota tonos","ί","Ι","U+0399"
"U+03b0",436,441,"GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS","upsilon dialytika tonos","ΰ","Υ","U+03a5"
"U+03b1",384,385,"GREEK SMALL LETTER ALPHA","alpha","α","Α","U+0391"
"U+03b2",388,389,"GREEK SMALL LETTER BETA","beta","β","Β","U+0392"
